Date,Open,High,P Close
1/17/24,23.45,,23.75
1/18/24,23.48,,23.48
1/19/24,23.66,,23.58
1/22/24,24.13,,24.03
1/23/24,24.45,,24.25
1/24/24,24.57,,24.31
