Date,Open,High,Third Day P Close
1/17/24,23.45,,24.22
1/18/24,23.48,,24.24
1/19/24,23.66,,23.75
1/22/24,24.13,,23.48
1/23/24,24.45,,23.58
1/24/24,24.57,,24.03
